,Value,Type,Class,Description
1719,BEIJING,Location,Personal details,place
1720,Conte,Person,Personal details,name of person
1721,AhmedSekouToure,Person,Personal details,name of person
1722,HongKong,Location,Personal details,place
1723,Pattaya,Location,Personal details,place
1724,DerrickAdkins,Person,Personal details,name of person
1725,ChrisBoardman,Person,Personal details,name of person
1726,Britain,Location,Personal details,place
1727,RotorVolgograd,Organization,Political Secret,organizations such as private company and goverment.
1728,DynamoMoscow,Organization,Political Secret,organizations such as private company and goverment.
1729,MINNESOTA,Organization,Political Secret,organizations such as private company and goverment.
1730,TORONTO,Location,Personal details,place
1731,CLEVELAND,Location,Personal details,place
1732,Baghdad,Location,Personal details,place
1733,Iraq,Location,Personal details,place
1734,CLEVELAND,Organization,Political Secret,organizations such as private company and goverment.
1735,DETROIT,Location,Personal details,place
1736,RashidLatif,Person,Personal details,name of person
1737,Monaco,Organization,Political Secret,organizations such as private company and goverment.
1738,COLORADO,Organization,Political Secret,organizations such as private company and goverment.
1739,Senate,Organization,Political Secret,organizations such as private company and goverment.
1740,MohammadAkram,Person,Personal details,name of person
1741,VyacheslavEkimov,Person,Personal details,name of person
1742,Russia,Location,Personal details,place
1743,Rabobank,Organization,Political Secret,organizations such as private company and goverment.
1744,Romania,Location,Personal details,place
1745,IonIliescu,Person,Personal details,name of person
1746,Hungary,Location,Personal details,place
1747,Amsterdam,Location,Personal details,place
1748,Malta,Location,Personal details,place
1749,Singapore,Location,Personal details,place
1750,Romania,Location,Personal details,place
1751,Zenith,Organization,Political Secret,organizations such as private company and goverment.
1752,Colorado,Location,Personal details,place
1753,MarkThompson,Person,Personal details,name of person
1754,EllisBurks,Person,Personal details,name of person
1755,ColoradoRockies,Organization,Political Secret,organizations such as private company and goverment.
1756,PittsburghPirates,Organization,Political Secret,organizations such as private company and goverment.
1757,AMSTERDAM,Location,Personal details,place
1758,DavisKamoga,Person,Personal details,name of person
1759,Uganda,Location,Personal details,place
1760,RUSSIA,Location,Personal details,place
1761,BRAZIL,Location,Personal details,place
1762,CHICAGO,Organization,Political Secret,organizations such as private company and goverment.
1763,Houston,Location,Personal details,place
1764,JeffBagwell,Person,Personal details,name of person
1765,DonneWall,Person,Personal details,name of person
1766,HoustonAstros,Organization,Political Secret,organizations such as private company and goverment.
1767,St.LouisCardinals,Organization,Political Secret,organizations such as private company and goverment.
1768,RuneHansen,Person,Personal details,name of person
1769,TUNIS,Location,Personal details,place
1770,"PublicService,LabourandSocialWelfare",Organization,Political Secret,organizations such as private company and goverment.
1771,Florence,Location,Personal details,place
1772,Gallagher,Person,Personal details,name of person
1773,London,Location,Personal details,place
1774,Heathrow,Location,Personal details,place
1775,Chicago,Location,Personal details,place
1776,PKK,Organization,Political Secret,organizations such as private company and goverment.
1777,Turkey,Location,Personal details,place
1778,QUITO,Location,Personal details,place
1779,Ecuador,Location,Personal details,place
1780,DamianEjiohuo,Person,Personal details,name of person
1781,Nijmeh,Organization,Political Secret,organizations such as private company and goverment.
1782,Lebanon,Location,Personal details,place
1783,Nasr,Organization,Political Secret,organizations such as private company and goverment.
1784,SaudiArabia,Location,Personal details,place
1785,Albania,Location,Personal details,place
1786,DETROIT,Organization,Political Secret,organizations such as private company and goverment.
1787,KANSASCITY,Location,Personal details,place
1788,BernardHalford,Person,Personal details,name of person
1789,Board,Organization,Political Secret,organizations such as private company and goverment.
1790,AmerHishemAliMohammed,Person,Personal details,name of person
1791,Sliema,Location,Personal details,place
1792,Valletta,Location,Personal details,place
1793,Pakistan,Location,Personal details,place
1794,Grobbelaar,Person,Personal details,name of person
1795,HansSegers,Person,Personal details,name of person
1796,JohnFashanu,Person,Personal details,name of person
1797,HengSuanLim,Person,Personal details,name of person
1798,EndrioLeoni,Person,Personal details,name of person
1799,Italy,Location,Personal details,place
1800,Aki,Person,Personal details,name of person
1801,VitesseArnhem,Organization,Political Secret,organizations such as private company and goverment.
1802,Utrecht,Organization,Political Secret,organizations such as private company and goverment.
1803,Zurich,Location,Personal details,place
1804,Engquist,Person,Personal details,name of person
1805,Oslo,Location,Personal details,place
1806,Zurich,Location,Personal details,place
1807,Brussels,Location,Personal details,place
1808,Berlin,Location,Personal details,place
1809,ToddMartin,Person,Personal details,name of person
1810,U.S.,Location,Personal details,place
1811,YounesElAynaoui,Person,Personal details,name of person
1812,Morocco,Location,Personal details,place
1813,Geelong,Organization,Political Secret,organizations such as private company and goverment.
1814,Hashimoto,Person,Personal details,name of person
1815,Lucchese,Organization,Political Secret,organizations such as private company and goverment.
1816,Vicenza,Organization,Political Secret,organizations such as private company and goverment.
1817,Portsmouth,Location,Personal details,place
1818,Middlesex,Organization,Political Secret,organizations such as private company and goverment.
1819,K.Brown,Person,Personal details,name of person
1820,KennyHarrison,Person,Personal details,name of person
1821,U.S.,Location,Personal details,place
1822,ZurichEditorial,Organization,Political Secret,organizations such as private company and goverment.
1823,PSG,Organization,Political Secret,organizations such as private company and goverment.
1824,DavidGinola,Person,Personal details,name of person
1825,Newcastle,Organization,Political Secret,organizations such as private company and goverment.
1826,Scotland,Location,Personal details,place
1827,HansaRostock,Organization,Political Secret,organizations such as private company and goverment.
1828,Hamburg,Organization,Political Secret,organizations such as private company and goverment.
